NA_ANIMAL,NA_ID,Loc,Sohlenbrei,NAT1,REST1,STAU1,Breaks_Dis
Alena,130169,0,6,1,0,0,791.4071
Alena,130170,0,6,1,0,0,105.9342
Alena,130170,0,8,1,0,0,1082.6773
Alena,130170,0,7,1,0,0,121.9911
Alena,130170,0,6,1,0,0,166.3615
Alena,130170,0,6,1,0,0,255.5889
Alena,130170,0,5,1,0,0,364.8931
Alena,130170,0,6,1,0,0,488.7969
Alena,130170,0,5,1,0,0,696.9164
Alena,130170,0,6,1,0,0,85.429
Alena,130171,0,8,1,0,0,109.1899
Alena,130171,0,7,1,0,0,389.1769
Alena,130171,0,8,1,0,0,412.8082
Alena,130171,0,8,1,0,0,441.8576
Alena,130171,0,6,1,0,0,444.8183
Alena,130171,0,6,1,0,0,521.004
Alena,130171,0,6,1,0,0,621.7488
Alena,130171,0,8,1,0,0,71.1235
Alena,130171,0,6,1,0,0,885.4045
Alena,130172,0,8,1,0,0,0.4836
Alena,130172,0,8,1,0,0,11.0434
Alena,130172,0,8,1,0,0,14.6481
Alena,130172,0,8,1,0,0,148.5207
Alena,130172,0,8,1,0,0,217.2148
Alena,130172,0,8,1,0,0,362.8777
Alena,130172,0,8,1,0,0,383.8616
Alena,130172,0,8,1,0,0,70.6696
Alena,130172,0,8,1,0,0,930.9907
Alena,130184,0,7,1,0,0,200.3439
Alena,130184,0,7,1,0,0,231.3422
Alena,130184,0,8,1,0,0,295.2022
Alena,130184,0,7,1,0,0,3.5369
Alena,130184,0,7,1,0,0,31.4689
Alena,130184,0,8,1,0,0,342.4361
Alena,130184,0,8,1,0,0,434.8327
Alena,130184,0,6,1,0,0,635.2645
Alena,130184,0,7,1,0,0,767.7201
Alena,130185,0,7,1,0,0,180.8025
Alena,130185,0,6,1,0,0,238.7005
Alena,130185,0,8,1,0,0,254.0311
Alena,130185,0,5,1,0,0,2582.9128
Alena,130185,0,6,1,0,0,274.8108
Alena,130185,0,6,1,0,0,351.4849
Alena,130185,0,7,1,0,0,605.4662
Alena,130185,0,6,1,0,0,666.5897
Alena,130185,0,7,1,0,0,81.0476
Alena,130200,0,7,1,0,0,173.5263
Alena,130200,0,6,1,0,0,179.5832
Alena,130200,0,6,1,0,0,206.7685
Alena,130200,0,6,1,0,0,210.9339
Alena,130200,0,6,1,0,0,221.4928
Alena,130200,0,7,1,0,0,501.909
Alena,130200,0,7,1,0,0,717.9239
Alena,130200,0,12,1,0,0,857.0381
Alena,130200,0,6,1,0,0,934.1697
Alena,130201,0,7,1,0,0,180.2085
Alena,130201,0,6,1,0,0,264.7599
Alena,130201,0,7,1,0,0,299.4281
Alena,130201,0,6,1,0,0,584.3028
Alena,130201,0,7,1,0,0,65.8958
Alena,130201,0,6,1,0,0,673.8164
Alena,130201,0,6,1,0,0,705.3482
Alena,130201,0,7,1,0,0,813.2991
Alena,130201,0,7,1,0,0,865.3987
Alena,130209,0,7,1,0,0,209.9511
Alena,130209,0,12,1,0,0,26.6434
Alena,130209,0,7,1,0,0,327.3326
Alena,130209,0,7,1,0,0,410.779
Alena,130209,0,8,1,0,0,451.6068
Alena,130209,0,7,1,0,0,864.9997
Alena,130209,0,12,1,0,0,87.0919
Alena,130209,0,12,1,0,0,88.5639
Alena,130209,0,7,1,0,0,922.6237
Alena,130210,0,12,1,0,0,105.2987
Alena,130210,0,12,1,0,0,148.2464
Alena,130210,0,12,1,0,0,251.9279
Alena,130210,0,7,1,0,0,309.9973
Alena,130210,0,7,1,0,0,360.3686
Alena,130210,0,7,1,0,0,378.6414
Alena,130210,0,8,1,0,0,482.2202
Alena,130210,0,8,1,0,0,493.8586
Alena,130210,0,12,1,0,0,69.4418
Alena,130211,0,12,1,0,0,100.3088
Alena,130211,0,12,1,0,0,196.7761
Alena,130211,0,7,1,0,0,233.7642
Alena,130211,0,12,1,0,0,251.7117
Alena,130211,0,8,1,0,0,470.5849
Alena,130211,0,7,1,0,0,642.5487
Alena,130211,0,7,1,0,0,655.7326
Alena,130211,0,12,1,0,0,84.772
Alena,130211,0,12,1,0,0,84.8535
Alena,130212,0,12,1,0,0,271.6031
Alena,130212,0,7,1,0,0,425.4887
Alena,130212,0,8,1,0,0,449.5337
Alena,130212,0,8,1,0,0,484.4068
Alena,130212,0,7,1,0,0,634.592
Alena,130212,0,12,1,0,0,81.3952
Alena,130212,0,6,1,0,0,827.1287
Alena,130212,0,12,1,0,0,88.7582
Alena,130212,0,12,1,0,0,89.3607
Alena,130213,0,12,1,0,0,126.215
Alena,130213,0,12,1,0,0,135.6666
Alena,130213,0,12,1,0,0,17.2035
Alena,130213,0,12,1,0,0,170.4893
Alena,130213,0,12,1,0,0,23.309
Alena,130213,0,12,1,0,0,31.2003
Alena,130213,0,7,1,0,0,408.3407
Alena,130213,0,7,1,0,0,655.4431
Alena,130213,0,12,1,0,0,81.2468
Alena,130214,0,12,1,0,0,138.1771
Alena,130214,0,8,1,0,0,318.318
Alena,130214,0,8,1,0,0,327.3326
Alena,130214,0,8,1,0,0,363.4763
Alena,130214,0,8,1,0,0,373.4234
Alena,130214,0,12,1,0,0,52.3962
Alena,130214,0,7,1,0,0,537.5929
Alena,130214,0,6,1,0,0,614.4248
Alena,130214,0,12,1,0,0,8.1697
Alena,130226,0,6,1,0,0,123.0441
Alena,130226,0,6,1,0,0,16.5197
Alena,130226,0,6,1,0,0,378.7593
Alena,130226,0,6,1,0,0,46.3634
Alena,130226,0,6,1,0,0,47.7095
Alena,130226,0,6,1,0,0,502.1865
Alena,130226,0,6,1,0,0,68.6859
Alena,130226,0,6,1,0,0,80.6213
Alena,130226,0,7,1,0,0,899.5726
Alena,130227,0,7,1,0,0,132.6498
Alena,130227,0,6,1,0,0,237.2038
Alena,130227,0,7,1,0,0,26.0069
Alena,130227,0,6,1,0,0,403.2709
Alena,130227,0,8,1,0,0,460.2963
Alena,130227,0,6,1,0,0,587.3231
Alena,130227,0,7,1,0,0,736.3147
Alena,130227,0,7,1,0,0,808.5941
Alena,130227,0,7,1,0,0,85.2475
Alena,130228,0,8,1,0,0,1.3791
Alena,130228,0,8,1,0,0,189.0786
Alena,130228,0,8,1,0,0,224.913
Alena,130228,0,8,1,0,0,3.3321
Alena,130228,0,8,1,0,0,304.0494
Alena,130228,0,8,1,0,0,323.2352
Alena,130228,0,7,1,0,0,479.0806
Alena,130228,0,8,1,0,0,48.1389
Alena,130228,0,6,1,0,0,944.7754
Alena,130229,0,6,1,0,0,108.9974
Alena,130229,0,6,1,0,0,116.8337
Alena,130229,0,6,1,0,0,163.5853
Alena,130229,0,6,1,0,0,248.0159
Alena,130229,0,6,1,0,0,280.4424
Alena,130229,0,7,1,0,0,568.633
Alena,130229,0,5,1,0,0,666.1845
Alena,130229,0,5,1,0,0,72.2032
Alena,130229,0,6,1,0,0,96.1957
Alena,130230,0,6,1,0,0,110.2113
Alena,130230,0,5,1,0,0,167.8451
Alena,130230,0,5,1,0,0,26.7846
Alena,130230,0,5,1,0,0,337.3423
Alena,130230,0,5,1,0,0,375.8828
Alena,130230,0,5,1,0,0,437.6113
Alena,130230,0,6,1,0,0,580.1632
Alena,130230,0,6,1,0,0,86.1891
Alena,130230,0,4,1,0,0,90.4791
Alena,130235,0,4,1,0,0,210.6203
Alena,130235,0,4,1,0,0,214.0681
Alena,130235,0,4,1,0,0,3.1134
Alena,130235,0,6,1,0,0,500.3084
Alena,130235,0,6,1,0,0,562.9291
Alena,130235,0,6,1,0,0,582.5228
Alena,130235,0,6,1,0,0,586.8128
Alena,130235,0,4,1,0,0,59.9645
Alena,130235,0,6,1,0,0,657.4439
Alena,130236,0,7,1,0,0,0.6756
Alena,130236,0,7,1,0,0,155.565
Alena,130236,0,7,1,0,0,250.3871
Alena,130236,0,7,1,0,0,396.9065
Alena,130236,0,7,1,0,0,415.1937
Alena,130236,0,7,1,0,0,455.6621
Alena,130236,0,7,1,0,0,583.1714
Alena,130236,0,5,0,1,0,829.0518
Alena,130236,0,7,1,0,0,91.481
Alena,130237,0,6,1,0,0,15.7878
Alena,130237,0,7,1,0,0,1577.2228
Alena,130237,0,6,1,0,0,19.2398
Alena,130237,0,6,1,0,0,248.6768
Alena,130237,0,6,1,0,0,313.3463
Alena,130237,0,4,1,0,0,401.666
Alena,130237,0,6,1,0,0,59.9645
Alena,130237,0,4,1,0,0,600.3625
Alena,130237,0,6,1,0,0,817.7464
Alena,130238,0,7,1,0,0,150.9513
Alena,130238,0,7,1,0,0,185.7621
Alena,130238,0,7,1,0,0,255.1023
Alena,130238,0,7,1,0,0,268.025
Alena,130238,0,7,1,0,0,295.4392
Alena,130238,0,7,1,0,0,364.8931
Alena,130238,0,7,0,0,1,38.8
Alena,130238,0,7,1,0,0,416.8697
Alena,130238,0,6,1,0,0,831.6346
Alena,130239,0,9,0,0,1,1033.907
Alena,130239,0,7,1,0,0,181.9865
Alena,130239,0,7,1,0,0,252.3486
Alena,130239,0,7,1,0,0,274.3026
Alena,130239,0,7,1,0,0,276.9307
Alena,130239,0,7,1,0,0,29.9309
Alena,130239,0,7,1,0,0,299.4281
Alena,130239,0,7,1,0,0,468.2477
Alena,130239,0,7,1,0,0,634.592
Alena,130240,0,7,1,0,0,102.5646
Alena,130240,0,7,1,0,0,110.6509
Alena,130240,0,7,1,0,0,117.1567
Alena,130240,0,7,1,0,0,230.378
Alena,130240,0,7,1,0,0,30.6234
Alena,130240,0,7,1,0,0,301.8243
Alena,130240,0,7,1,0,0,382.945
Alena,130240,0,7,1,0,0,436.1956
Alena,130240,0,7,1,0,0,446.2818
Alena,130241,0,7,1,0,0,157.701
Alena,130241,0,7,1,0,0,214.5153
Alena,130241,0,7,1,0,0,314.219
Alena,130241,0,7,1,0,0,314.8686
Alena,130241,0,7,1,0,0,321.9708
Alena,130241,0,7,1,0,0,361.5207
Alena,130241,0,7,1,0,0,69.039
Alena,130241,0,7,1,0,0,768.398
Alena,130241,0,7,1,0,0,812.0278
Alena,130242,0,7,1,0,0,160.8682
Alena,130242,0,7,1,0,0,189.2842
Alena,130242,0,7,1,0,0,190.349
Alena,130242,0,7,1,0,0,273.3145
Alena,130242,0,7,1,0,0,290.3275
Alena,130242,0,7,0,1,0,375.848
Alena,130242,0,7,1,0,0,526.607
Alena,130242,0,7,1,0,0,771.4456
Alena,130242,0,7,1,0,0,829.0518
Alena,130243,0,6,1,0,0,1023.7283
Alena,130243,0,7,1,0,0,116.2887
Alena,130243,0,7,1,0,0,137.2588
Alena,130243,0,7,1,0,0,271.1493
Alena,130243,0,7,1,0,0,315.9547
Alena,130243,0,7,1,0,0,344.7656
Alena,130243,0,7,1,0,0,504.2449
Alena,130243,0,6,1,0,0,554.6553
Alena,130243,0,6,1,0,0,590.9987
Alena,130244,0,7,1,0,0,118.2979
Alena,130244,0,7,1,0,0,209.1428
Alena,130244,0,7,1,0,0,296.6557
Alena,130244,0,7,1,0,0,370.8335
Alena,130244,0,7,1,0,0,412.3971
Alena,130244,0,7,1,0,0,449.1721
Alena,130244,0,7,1,0,0,538.8077
